filename,watyr,pre_drain,post_drain
apelake,2017,12/5/2016 14:00,12/5/2016 15:00
apelake,2017,3/20/2017 11:00,3/20/2017 12:00
apelake,2018,10/3/2017 15:00,10/3/2017 17:00
apelake,2018,3/18/2018 11:00,3/18/2018 13:00
apelake,2018,9/29/2018 13:00,9/29/2018 15:00
apelake,2019,3/19/2019 10:00,3/19/2019 11:00
apelake,2019,9/29/2019 14:00,9/29/2019 15:00
apelake,2020,3/19/2020 10:00,3/19/2020 11:00
apelake,2020,9/29/2020 13:00,9/29/2020 14:00
apelake,2021,3/25/2021 12:00,3/25/2021 13:00
apelake,2021,5/5/2021 18:00,5/5/2021 19:00
apelake,2023,10/3/2022 15:00,10/3/2022 16:00
apelake,2024,10/6/2023 8:00,10/6/2023 9:00
apelake,2025,10/11/2024 9:00,10/11/2024 13:00
upperskeena,2022,6/9/2022 9:00,6/9/2022 11:00
upperskeena,2023,7/11/2023 12:00,7/11/2023 13:00
upperskeena,2024,10/11/2023 13:00,10/11/2023 14:00
upperskeena,2025,3/11/2025 9:00,3/11/2025 10:00
mountmaya,2015,12/8/2014 12:00,12/8/2014 16:00
mountmaya,2015,2/11/2015 8:00,2/11/2015 10:00
mountmaya,2016,10/7/2015 10:00,10/7/2015 12:00
mountmaya,2016,2/18/2016 8:00,2/18/2016 12:00
mountmaya,2017,10/22/2016 9:00,10/22/2016 11:00
mountmaya,2017,3/20/2017 12:00,3/20/2017 15:00
mountmaya,2018,10/3/2017 16:00,10/3/2017 18:00
mountmaya,2018,3/18/2018 13:00,3/18/2018 15:00
mountmaya,2018,9/29/2018 15:00,9/29/2018 16:00
mountmaya,2019,3/18/2019 16:00,3/18/2019 18:00
mountmaya,2020,3/18/2020 14:00,3/18/2020 16:00
mountmaya,2020,9/29/2020 9:00,9/29/2020 11:00
mountmaya,2021,3/25/2021 15:00,3/25/2021 17:00
mountmaya,2022,10/7/2021 15:00,10/7/2021 17:00
mountmaya,2023,10/4/2022 11:00,10/4/2022 13:00
mountmaya,2023,7/13/2023 8:00,7/14/2023 12:00
claytonfalls,2017,10/4/2016 12:00,10/4/2016 16:00
claytonfalls,2017,3/20/2017 16:00,3/20/2017 18:00
claytonfalls,2018,10/4/2017 12:00,10/4/2017 13:00
claytonfalls,2018,3/19/2018 7:00,3/19/2018 9:00
claytonfalls,2018,9/29/2018 17:00,9/29/2018 18:00
claytonfalls,2019,3/19/2019 9:00,3/19/2019 10:00
claytonfalls,2019,9/29/2019 11:00,9/29/2019 12:00
claytonfalls,2020,12/9/2019 10:00,12/9/2019 12:00
claytonfalls,2020,3/19/2020 7:00,3/19/2020 8:00
claytonfalls,2020,9/29/2020 11:00,9/29/2020 12:00
claytonfalls,2021,4/13/2021 10:00,4/13/2021 12:00
claytonfalls,2022,10/7/2021 8:00,10/7/2021 11:00
claytonfalls,2023,10/4/2022 8:00,10/4/2022 10:00
claytonfalls,2024,10/5/2023 13:00,10/5/2023 15:00
claytonfalls,2024,10/5/2023 13:00,10/5/2023 14:00
claytonfalls,2024,7/2/2024 12:00,7/2/2024 14:00
claytonfalls,2025,10/11/2024 14:00,10/11/2024 15:00
machmellkliniklini,2017,12/5/2016 11:00,12/5/2016 13:00
machmellkliniklini,2017,3/20/2017 8:00,3/20/2017 9:00
machmellkliniklini,2018,10/3/2017 13:00,10/3/2017 15:00
machmellkliniklini,2018,3/18/2018 10:00,3/18/2018 11:00
machmellkliniklini,2018,9/29/2018 12:00,9/29/2018 13:00
machmellkliniklini,2019,3/19/2019 14:00,3/19/2019 15:00
machmellkliniklini,2019,9/29/2019 15:00,9/29/2019 16:00
machmellkliniklini,2020,2/18/2020 14:00,2/18/2020 15:00
machmellkliniklini,2020,9/29/2020 14:00,9/29/2020 15:00
machmellkliniklini,2021,3/25/2021 9:00,3/25/2021 11:00
machmellkliniklini,2021,4/6/2021 1:00,4/6/2021 3:00
machmellkliniklini,2023,10/3/2022 10:00,10/3/2022 14:00
machmellkliniklini,2024,10/6/2023 9:00,10/6/2023 11:00
machmellkliniklini,2025,10/12/2024 9:00,10/12/2024 11:00
eastbuxton,2017,3/21/2017 9:00,3/21/2017 11:00
eastbuxton,2017,7/14/2017 11:00,8/31/2017 10:00
eastbuxton,2018,1/30/2018 17:00,1/30/2018 18:00
eastbuxton,2018,2/19/2018 12:00,2/19/2018 14:00
eastbuxton,2018,3/19/2018 10:00,3/19/2018 12:00
eastbuxton,2018,9/13/2018 8:00,9/13/2018 10:00
